6208,8453
356,5295
1457,5810
545,545
5170,5581
5300,7185
5159,6464
5594,5894
5530,5534
10783,6446
1387,4193
1026,79885
4193,7251
1852,5594
10524,472
4609,5693
10327,8574
1499,1616
1387,4609
4830,6418
472,5982
3551,6446
7343,7343
1026,9134
26574,5925
581,7416
1841,22978
1854,4830
3735,6194
7157,7251
10051,9641
801,8517
2064,5578
598,637
2274,8548
5295,5921
6885,9978
5300,5932
2932,4088
572,6622
1956,378
3055,5291
3551,7157
10007,3098
3980,7150
1017,25
4436,4436
5981,7150
3716,695
5747,5747
1459,7150
1019,3832
4193,5747
5295,5295
5586,5586
1974,1977
7185,7316
1827,5594
10110,2309
1803,7852
4087,818
1021,5058
4998,7251
2810,572
392,5879
8878,9817
213,472
1147,2175
3558,3725
5159,5770
1642,324
8915,8915
208,4296
3091,367
10018,140735
4998,81620
1642,1642
1147,8518
6203,7150
2965,4331
6790,7332
4088,55914
6500,6500
1457,3066
4792,4792
3014,6208
3479,3480
2737,4087
3055,5610
4691,6194
1869,983
2961,9412
5563,6885
5159,573
488,8717
1616,6774
1020,6241
4091,64750
1956,1956
26993,26993
8717,8772
5371,6790
387,8772
2932,4613
1022,5914
2033,6908
10988,5594
5516,898
1017,81620
3066,3091
1612,7249
2146,23411
4671,842
3551,5970
142,983
3297,3308
1052,1080
1022,4176
5159,5335
2956,4292
5686,5698
3066,3308
57761,5970
2353,7421
1786,2146
5709,5720
1978,9252
1950,2064
5894,5894
1459,6303
1211,1213
1869,2932
284058,4088
8850,9412
1387,8554
10135,2175
3606,837
1026,5598
4609,7852
6198,6714
10524,4193
7157,7316
4331,5925
2189,2189
5036,8517
23291,8945
207,2146
672,7332
688,7316
10451,2099
1869,4331
10987,3174
6303,6723
5156,5335
5111,5883
2065,5335
1676,578
5770,6774
2068,983
1021,5925
3611,9688
5588,5588
142,4691
1020,1454
10694,8428
2677,5624
4724,4729
1827,5530
3717,7852
6597,8850
4091,6885
5599,8202
4331,902
1017,7083
2068,2961
1213,5564
7157,8650
22938,4609
2175,3320
2475,25
1263,993
1457,23411
1457,2071
5578,5770
54205,9641
3458,7124
4214,5594
3329,4869
387,8795
5982,7150
5777,5777
5300,898
2182,2194
3560,3717
367,811
4704,4724
5981,641
7083,7249
7249,7316
3551,5518
7187,7188
7083,7088
1387,4089
3397,8517
3551,9817
8717,9131
5925,890
1022,4171
1616,1616
2353,57634
3014,5591
4771,5567
1459,7157
7150,890
3146,367
2321,545
3569,3569
1803,1803
208,2475
1017,23047
4193,4193
2959,8850
2033,5562
10397,1213
2353,6300
2099,2932
6418,7153
1021,1022
1545,6715
2073,604
5058,5894
4791,5709
902,9112
4171,4175
7187,7187
2175,641
23043,51727
1956,8650
142,5111
151636,7323
1958,5979
10987,2081
4773,5532
3608,5591
11065,11065
2100,5600
7291,7291
3608,8493
1827,5602
5347,8517
6714,983
1019,7157
3608,6188
1633,6258
1111,4089
2146,3066
1019,3320
2033,3214
7157,902
355,4217
2194,2194
4609,7316
1457,672
6788,7185
5600,8841
3066,83933
8517,8878
10987,4089
23291,9978
2175,983
10856,1736
1978,472
3717,5524
5111,6188
142,51588
3055,695
5594,9759
367,9759
23043,6240
1676,1677
5111,5982
6502,7249
3725,3725
1019,5770
208,5577
5981,5982
329,958
4804,9618
3148,5451
5970,6208
2099,4214
5747,9564
8453,9616
2965,2965
6643,6643
10933,57634
1027,6714
1453,7157
4882,4882
5594,5770
11073,5371
9261,9261
367,4790
230,7915
3559,6772
3978,6119
5159,5610
5296,5728
3065,3091
2189,983
2068,8878
634,6714
6015,7027
3091,4193
1387,2099
2099,8202
1026,51053
369,673
1981,5564
6303,6591
1027,1459
4804,7083
572,581
5465,5580
4609,8878
3735,7965
1457,6772
5058,5594
4193,5925
1026,5595
3821,5777
1633,1633
1017,595
1147,4792
25,5925
207,208
595,801
